Date,Temperature,RelHumidity,AtmPressure,Visibility,WindDir,WindSpeed,Precipitation,Snowfall,SnowDepth,Discharge,StageHeight
2017-04-29,50.383893557422965,80.9627450980392,29.0820644257703,7.3088235294117645,93.55614973262031,11.697759103641458,0.3866666666666667,0.0,0.0,3750.0,11.15
2017-04-30,47.867573038625665,91.26162434057171,28.94504486267644,7.219001896633476,93.40482182587446,12.66607700818227,0.2866666666666667,0.0,0.0,3570.0,10.9
2017-05-01,49.63577235772358,87.8625,28.82639634146342,7.67530748384407,189.6321138211382,13.341666666666669,0.6425000000000001,0.0,0.0,4750.0,12.57
2017-05-02,48.88188188188188,78.78703703703704,28.975635635635637,9.530530530530532,203.81881881881884,12.647647647647647,0.0875,0.0,0.0,4860.0,12.72
2017-05-03,47.763888888888886,77.56944444444444,29.11083333333333,9.666666666666666,120.69444444444446,6.4305555555555545,0.006666666666666667,0.0,0.0,5220.0,13.24
2017-05-04,48.10972222222222,74.60833333333333,29.106111111111108,9.375,140.69444444444443,9.730555555555556,0.0,0.0,0.0,5350.0,13.42
2017-05-05,54.772777777777776,71.07499999999999,29.02840000000001,8.966666666666667,172.5,13.171666666666667,0.0,0.0,0.0,5330.0,13.39
2017-05-06,59.02666666666667,73.64,28.952800000000007,8.812222222222223,150.60289855072463,11.4,0.0,0.0,0.0,5080.0,13.04
2017-05-07,56.57527777777777,77.23444444444443,28.9774,9.100000000000001,103.86031746031745,9.382222222222223,0.0,0.0,0.0,4750.0,12.56
2017-05-08,54.4388341543514,79.58169129720854,29.023571428571426,8.818452380952381,156.84710351377018,10.404351395730707,0.0,0.0,0.0,4470.0,12.16
2017-05-09,54.682980599647266,83.76851851851852,29.119823633156972,7.408730158730158,96.92857142857143,4.734567901234568,0.03333333333333333,0.0,0.0,4220.0,11.81
2017-05-10,59.83724881796691,83.35752882713369,29.058102324263057,6.450354609929079,135.54887449892075,7.589463622328364,0.0,0.0,0.0,4170.0,11.74
2017-05-11,57.202702702702695,82.9099099099099,28.91603603603603,8.162162162162161,198.81631631631635,7.63963963963964,0.965,0.0,0.0,4690.0,12.48
2017-05-12,56.58589743589744,66.03333333333333,28.99105641025641,9.538461538461538,181.39576365663322,7.195384615384615,0.0,0.0,0.0,4610.0,12.36
2017-05-13,65.21583333333334,72.73444444444443,28.992055555555552,9.5,134.82222222222222,7.911111111111111,0.0,0.0,0.0,4330.0,11.96
2017-05-14,67.06416666666667,75.45666666666666,28.961827777777774,9.312777777777779,139.86111111111111,11.216666666666667,0.0,0.0,0.0,4010.0,11.52
2017-05-15,62.48305555555555,67.65722222222222,29.01839444444445,9.833333333333334,193.3635265700483,11.424999999999999,0.0,0.0,0.0,3750.0,11.16
2017-05-16,66.61805555555556,68.18055555555556,28.999999999999996,9.329861111111112,163.77923976608187,7.958333333333333,0.0,0.0,0.0,3540.0,10.86
2017-05-17,65.45634920634922,73.75048393341076,28.82285617499031,9.236382113821138,164.45014976465555,10.35385210994967,0.16999999999999998,0.0,0.0,3510.0,10.81
2017-05-18,61.952991452991455,79.88034188034187,28.954102564102556,9.758434547908232,250.59829059829062,10.418803418803419,0.9249999999999999,0.0,0.0,3510.0,10.82
2017-05-19,52.574342105263156,76.02582096266308,29.192131466486728,9.226495726495726,189.50896873594243,10.19623256860099,0.4325,0.0,0.0,4090.0,11.63
2017-05-20,50.58942414174972,80.71668512366188,29.14523624953858,8.742063492063492,148.52263007679912,8.735880398671098,0.39749999999999996,0.0,0.0,4650.0,12.42
2017-05-21,55.47569444444444,71.64092741935484,29.11163844086023,9.490322580645161,174.54121863799284,9.300828853046594,0.11750000000000001,0.0,0.0,5240.0,13.27
2017-05-22,57.20583333333334,78.12333333333333,29.0279,9.893333333333333,172.42777777777778,8.725555555555555,0.0,0.0,0.0,5560.0,13.72
2017-05-23,57.61272401433692,87.86379928315411,28.984627240143368,8.527777777777779,228.87480798771125,9.129749103942652,0.025,0.0,0.0,5690.0,13.9
2017-05-24,57.33796296296296,78.35185185185185,29.007037037037037,9.37037037037037,151.17171717171718,6.981481481481481,0.035,0.0,0.0,5680.0,13.89
2017-05-25,55.888447971781304,78.54673721340389,28.9899647266314,9.296296296296296,172.31701940035273,7.48015873015873,0.0025,0.0,0.0,5580.0,13.75
2017-05-26,63.824561403508774,86.06455240665768,28.967613585245164,8.724134053081421,127.80476833108412,8.635852451641925,0.0,0.0,0.0,5340.0,13.41
2017-05-27,60.690848743480316,81.31389284020864,29.031588430535805,8.092252252252253,184.27690848743484,12.120436225699384,0.3666666666666667,0.0,0.0,5170.0,13.17
2017-05-28,66.9423076923077,71.78205128205128,29.05141025641026,9.192820512820512,182.5,9.897435897435898,0.425,0.0,0.0,5000.0,12.93
2017-05-29,61.78527777777778,68.52888888888889,29.07850555555555,9.385416666666666,191.74603174603172,8.612995169082126,0.04666666666666667,0.0,0.0,4860.0,12.73
2017-05-30,59.913611111111116,62.58777777777778,29.037023809523816,9.84,171.60555555555558,10.728333333333333,0.0,0.0,0.0,4770.0,12.6
2017-05-31,58.984358974358976,62.7548717948718,28.916473355629876,9.615384615384615,191.1645299145299,8.166666666666666,0.0,0.0,0.0,4480.0,12.18
2017-06-01,58.09611111111111,74.04277777777777,28.886511111111115,9.636666666666667,199.83434343434342,7.466666666666666,0.0,0.0,0.0,4160.0,11.72
2017-06-02,63.25,75.87426900584795,28.861805555555552,8.791666666666666,206.66666666666666,9.777777777777779,0.0,0.0,0.0,3840.0,11.28
2017-06-03,61.59395424836601,65.0453216374269,28.936444444444437,8.510416666666666,231.66666666666666,8.73611111111111,0.0,0.0,0.0,3580.0,10.91
2017-06-04,55.35772946859903,63.80712121212121,28.957583333333332,8.989444444444445,163.94747474747473,9.287777777777778,0.0075,0.0,0.0,3370.0,10.61
2017-06-05,55.27876984126985,64.88055555555555,29.032440476190477,9.722222222222221,151.76666666666668,13.759444444444446,0.0,0.0,0.0,3190.0,10.36
2017-06-06,52.582341269841265,66.81746031746032,29.10958333333333,8.820652173913045,134.78535353535355,10.216183574879226,0.0,0.0,0.0,3020.0,10.11
2017-06-07,52.39333333333333,68.18611111111112,29.048972222222215,8.745555555555557,163.80032206119162,10.11888888888889,0.0,0.0,0.0,2860.0,9.88
2017-06-08,58.14990942028985,69.4211956521739,28.942457004830917,9.753623188405797,206.23188405797103,7.591594202898551,0.0,0.0,0.0,2740.0,9.7
2017-06-09,64.11500000000001,65.91176470588235,28.906300000000005,8.567083333333334,245.33888888888887,11.116111111111111,0.0,0.0,0.0,2630.0,9.54
2017-06-10,69.92708333333334,69.67916666666667,28.97765555555556,9.854166666666666,247.91666666666666,13.395000000000001,0.0,0.0,0.0,2540.0,9.4
2017-06-11,71.04166666666666,64.35416666666667,29.106650000000002,9.864444444444445,173.44806763285024,9.886111111111111,0.0,0.0,0.0,2450.0,9.27
2017-06-12,69.15,67.8,29.1944,10.0,95.69444444444444,6.05,0.0,0.0,0.0,2370.0,9.15
